[BusLocationSystem] Start Crolling
[BusLocationSystem] Url Connetion
[BusLocationSystem] Start Parse
[BusLocationSystem] 35.1126283333 gpsY Find
[BusLocationSystem] 168470203 bstopId Find
[BusLocationSystem] 서여고 bstopNm Find
[BusLocationSystem] 129.0201366667 gpsX Find
[BusLocationSystem] 35.1140133333 gpsY Find
[BusLocationSystem] 168470202 bstopId Find
[BusLocationSystem] 동신초등학교입구 bstopNm Find
[BusLocationSystem] 129.0192616667 gpsX Find
[BusLocationSystem] 35.1145383333 gpsY Find
[BusLocationSystem] 168470201 bstopId Find
[BusLocationSystem] 동신초등학교 bstopNm Find
[BusLocationSystem] 129.01817 gpsX Find
[BusLocationSystem] 35.11513 gpsY Find
[BusLocationSystem] 168310301 bstopId Find
[BusLocationSystem] 동신초등학교 bstopNm Find
[BusLocationSystem] 129.0191816667 gpsX Find
[BusLocationSystem] 35.1148433333 gpsY Find
[BusLocationSystem] 168310302 bstopId Find
[BusLocationSystem] 동신초등학교 bstopNm Find
[BusLocationSystem] 129.01871 gpsX Find
[BusLocationSystem] 35.11506 gpsY Find
[BusLocationSystem] 168330101 bstopId Find
[BusLocationSystem] 문화아파트 bstopNm Find
[BusLocationSystem] 129.01667 gpsX Find
[BusLocationSystem] 35.115675 gpsY Find
[BusLocationSystem] 168340201 bstopId Find
[BusLocationSystem] 부경고교 bstopNm Find
[BusLocationSystem] 129.0140116667 gpsX Find
[BusLocationSystem] 35.114255 gpsY Find
[BusLocationSystem] 168340202 bstopId Find
[BusLocationSystem] 구덕운동장 bstopNm Find
[BusLocationSystem] 129.0139233333 gpsX Find
[BusLocationSystem] 35.1138633333 gpsY Find
[BusLocationSystem] 168340203 bstopId Find
[BusLocationSystem] 부경고교 bstopNm Find
[BusLocationSystem] 129.0136116667 gpsX Find
[BusLocationSystem] 35.1132816667 gpsY Find
[BusLocationSystem] 168620401 bstopId Find
[BusLocationSystem] 삼육부산병원 bstopNm Find
[BusLocationSystem] 129.011595 gpsX Find
[BusLocationSystem] 35.112665 gpsY Find
[BusLocationSystem] 168610101 bstopId Find
[BusLocationSystem] 삼육부산병원(서대신역) bstopNm Find
[BusLocationSystem] 129.0119116667 gpsX Find
[BusLocationSystem] 35.1115966667 gpsY Find
[BusLocationSystem] 168620302 bstopId Find
[BusLocationSystem] 서대신교차로(서대신역) bstopNm Find
[BusLocationSystem] 129.0111201 gpsX Find
[BusLocationSystem] 35.11057689 gpsY Find
[BusLocationSystem] 168620301 bstopId Find
[BusLocationSystem] 서대신교차로 bstopNm Find
[BusLocationSystem] 129.0112183333 gpsX Find
[BusLocationSystem] 35.110575 gpsY Find
[BusLocationSystem] 168760101 bstopId Find
[BusLocationSystem] 광민약국(서대신동) bstopNm Find
[BusLocationSystem] 129.0098166667 gpsX Find
[BusLocationSystem] 35.1110683333 gpsY Find
[BusLocationSystem] 168610201 bstopId Find
[BusLocationSystem] 광민약국(서대신동) bstopNm Find
[BusLocationSystem] 129.009755 gpsX Find
[BusLocationSystem] 35.1109983333 gpsY Find
[BusLocationSystem] 168620201 bstopId Find
[BusLocationSystem] 서부경찰서 bstopNm Find
[BusLocationSystem] 129.01316 gpsX Find
[BusLocationSystem] 35.11043 gpsY Find
[BusLocationSystem] 168620101 bstopId Find
[BusLocationSystem] 서대신교차로 bstopNm Find
[BusLocationSystem] 129.012985 gpsX Find
[BusLocationSystem] 35.11209 gpsY Find
[BusLocationSystem] 168620102 bstopId Find
[BusLocationSystem] 부경고교 bstopNm Find
[BusLocationSystem] 129.01382 gpsX Find
[BusLocationSystem] 35.11351 gpsY Find
[BusLocationSystem] 168320303 bstopId Find
[BusLocationSystem] 구덕운동장(종점) bstopNm Find
[BusLocationSystem] 129.0157633333 gpsX Find
[BusLocationSystem] 35.11389 gpsY Find
[BusLocationSystem] 168320302 bstopId Find
[BusLocationSystem] 구덕운동장 bstopNm Find
[BusLocationSystem] 129.01605 gpsX Find
[BusLocationSystem] 35.1133516667 gpsY Find
[BusLocationSystem] 168320301 bstopId Find
[BusLocationSystem] 서대신우체국 bstopNm Find
[BusLocationSystem] 129.016215 gpsX Find
